"year","meal_category","category_count","pct_of_year_total"
"1917","Side Dish","1","100.0"
"1927","Dessert","1","33.3"
"1927","Other","1","33.3"
"1927","Side Dish","1","33.3"
"1947","Dessert","1","50.0"
"1947","Refused Meal","1","50.0"
"1977","Side Dish","1","100.0"
"1986","Dessert","1","100.0"
"1988","Dessert","1","100.0"
"1990","Breakfast Item","1","25.0"
"1990","Dessert","1","25.0"
"1990","Main Meal","1","25.0"
"1990","Side Dish","1","25.0"
"1991","Dessert","1","100.0"
"1992","Dessert","2","33.3"
"1992","Fast Food","1","16.7"
"1992","Main Meal","1","16.7"
"1992","Side Dish","2","33.3"
"1993","Dessert","1","25.0"
"1993","Main Meal","2","50.0"
"1993","Side Dish","1","25.0"
"1994","Dessert","2","22.2"
"1994","Drink","1","11.1"
"1994","Main Meal","2","22.2"
"1994","Other","2","22.2"
"1994","Refused Meal","1","11.1"
"1994","Side Dish","1","11.1"
"1995","Dessert","4","50.0"
"1995","Main Meal","1","12.5"
"1995","Other","1","12.5"
"1995","Refused Meal","2","25.0"
"1996","Dessert","5","35.7"
"1996","Fast Food","2","14.3"
"1996","Main Meal","2","14.3"
"1996","Other","1","7.1"
"1996","Refused Meal","1","7.1"
"1996","Side Dish","3","21.4"
"1997","Dessert","2","13.3"
"1997","Fast Food","1","6.7"
"1997","Main Meal","3","20.0"
"1997","Other","4","26.7"
"1997","Refused Meal","1","6.7"
"1997","Side Dish","4","26.7"
"1998","Dessert","10","55.6"
"1998","Drink","1","5.6"
"1998","Fast Food","2","11.1"
"1998","Main Meal","1","5.6"
"1998","Refused Meal","2","11.1"
"1998","Side Dish","2","11.1"
"1999","Dessert","8","22.9"
"1999","Drink","2","5.7"
"1999","Main Meal","10","28.6"
"1999","Other","5","14.3"
"1999","Refused Meal","4","11.4"
"1999","Side Dish","6","17.1"
"2000","Dessert","15","28.3"
"2000","Fast Food","7","13.2"
"2000","Main Meal","12","22.6"
"2000","Other","7","13.2"
"2000","Refused Meal","4","7.5"
"2000","Side Dish","8","15.1"
"2001","Dessert","14","29.2"
"2001","Drink","2","4.2"
"2001","Fast Food","3","6.3"
"2001","Main Meal","9","18.8"
"2001","Other","5","10.4"
"2001","Refused Meal","6","12.5"
"2001","Side Dish","8","16.7"
"2001","Starter/Side","1","2.1"
"2002","Dessert","6","27.3"
"2002","Fast Food","3","13.6"
"2002","Main Meal","4","18.2"
"2002","Other","2","9.1"
"2002","Refused Meal","4","18.2"
"2002","Side Dish","3","13.6"
"2003","Dessert","2","40.0"
"2003","Other","2","40.0"
"2003","Side Dish","1","20.0"
"2004","Dessert","2","14.3"
"2004","Fast Food","2","14.3"
"2004","Main Meal","4","28.6"
"2004","Other","4","28.6"
"2004","Side Dish","2","14.3"
"2005","Dessert","2","50.0"
"2005","Main Meal","2","50.0"
"2006","Dessert","10","20.0"
"2006","Drink","3","6.0"
"2006","Fast Food","4","8.0"
"2006","Main Meal","10","20.0"
"2006","Other","3","6.0"
"2006","Refused Meal","8","16.0"
"2006","Side Dish","12","24.0"
"2007","Dessert","12","35.3"
"2007","Drink","2","5.9"
"2007","Fast Food","2","5.9"
"2007","Main Meal","8","23.5"
"2007","Other","1","2.9"
"2007","Refused Meal","1","2.9"
"2007","Side Dish","8","23.5"
"2008","Dessert","7","24.1"
"2008","Drink","2","6.9"
"2008","Fast Food","2","6.9"
"2008","Main Meal","2","6.9"
"2008","Other","3","10.3"
"2008","Refused Meal","5","17.2"
"2008","Side Dish","8","27.6"
"2009","Dessert","13","26.0"
"2009","Drink","4","8.0"
"2009","Fast Food","2","4.0"
"2009","Main Meal","6","12.0"
"2009","Other","9","18.0"
"2009","Refused Meal","1","2.0"
"2009","Side Dish","11","22.0"
"2009","Starter/Side","4","8.0"
"2010","Breakfast Item","1","2.2"
"2010","Dessert","16","34.8"
"2010","Drink","5","10.9"
"2010","Fast Food","5","10.9"
"2010","Main Meal","8","17.4"
"2010","Other","4","8.7"
"2010","Refused Meal","2","4.3"
"2010","Side Dish","5","10.9"
"2011","Breakfast Item","1","5.3"
"2011","Dessert","5","26.3"
"2011","Main Meal","4","21.1"
"2011","Other","3","15.8"
"2011","Refused Meal","3","15.8"
"2011","Side Dish","3","15.8"
"2012","Dessert","1","33.3"
"2012","Other","1","33.3"
"2012","Side Dish","1","33.3"
