Observation,StateDate,Meal
1,14-Sep-94,"Declined a final meal request, instead buying a cheeseburger from the vending machine plus a V8 juice, pork skins and a Yahoo drink."
2, 9 December 1997,"No special last meal and refused a meal that included tacos, beans, a tossed salad and apple crisp."
3, 8 February 2006,"Broiled crawfish, crackers, salad with lettuce, tomatoes, onion and French dressing, malt, Neapolitan ice cream."
4, 5 June 2006,"Did not request a final meal, but had cheese crackers, nacho cheese Bugles, a ham-and-cheese sandwich and a Dr. Pepper from vending machines."
5, 31 May 2000,None.
6, 31 March 2004,"Vending machine meal of meatball sub sandwich, a double pork chop sandwich and a Philly cheesesteak sandwich, with an orange soda and orange juice."
7, 31 March 1994,"Fried fish, french fries and iced tea."
8, 31 July 2008,No final meal request.
9, 31 July 1986,"Turkey sandwich with tomatoes and mayonnaise, potato salad and cake."
10, 31 January 2006,"Fried chicken, french fries, onion soup and a roll."
11, 31 January 2002,"Fried chicken, fried okra, a biscuit and a root beer."
12, 31 August 2006,No final meal request but had two fried egg sandwiches for breakfast.
13, 31 August 2006,Two corn dogs with ketchup and mustard and a Coke.
14, 31 August 2001,"Cheeseburger, fries, coffee with milk."
15, 31 August 1995,"Hot and spicy chicken breast, two slices of sausage pizza with extra cheese, a slice of German chocolate cake, a pint of French vanilla ice cream and a Dr. Pepper."
16, 30 September 2004,"Black-eyed peas, pepper steak and an orange-flavored drink. "
17, 30 November 2001,"A fish fillet sandwich, french fries and a lemon-lime soft drink."
18, 30 May 2002,Had no final meal request.
19, 30 March 2010,No final meal request.
20, 30 January 2007,"Two eggs over medium, four pieces of bacon, fried green tomatoes, sliced red tomatoes, four slices of pineapple with mayonnaise, white bread, a banana, and a medium-sized V-8."
21, 30 January 2002,"Requested shrimp, but it wasn’t available in the prison kitchen. Ate vending machine snacks."
22, 30 January 2001,"Fried catfish, potato logs, cole slaw, hush puppies, salad and water."
23, 30 January 1998,No meal at all.
24, 30 January 1996,"Supreme pizza, garden salad with ranch dressing, pickled okra, strawberry shortcake, cherry limeade."
25, 30 August 2000,"A double-cheeseburger with mayonnaise, a foot-long cheese Coney with mustard and extra onions, a cherry limeade and a banana shake."
26, 30 April 2009,"Barbecue potato chips, beef jerky, green onion dip and garlic dip, buttered popcorn, Pepsi (one of two executions this day)."
27, 30 April 2002,"Fried shrimp, garden salad, chocolate cake, grilled salmon (two of two executions this day)."
28, 3 December 1998,"Two large cheeseburgers, one small supreme pizza, fried green tomatoes, onion rings and fries, one quart of buttermilk, pecan pie."
29, 29 October 2008,"Large double cheeseburger with mustard, pickles, tomato, lettuce and onion, jalapeno peppers, large Coke with ice, raisin pie."
30, 29 May 2001,"Cheeseburger with lettuce, tomato, onions, and mayonnaise, french fries with ketchup, peach cobbler, and tea with sweetener and ice."
31, 29 March 2006,"Large supreme pizza, banana pudding with meringue topping, root beer, peanut M&Ms."
32, 29 June 2000,"Fried chicken, rice with gravy, pinto beans, turnip greens, hot rolls, milk (one of two executions this day)."
33, 29 January 2009,"Caesar salad, seedless grapes, crackers, breadsticks, coffee (two of two executions this day). "
34, 29 January 2002,"Beef tacos, spanish rice, refried beans, cheese enchilada, sliced avocado, corn tostado chips, onion and jalapeño pepper, Coke."
35, 29 January 2002,"Crab cakes with tartar sauce and cocktail sauce, fried potatoes, asparagus, rolls and butter, apple pie."
36, 29 August 2007,"Chef salad with Ranch dressing, double meat cheese burger (all the way), french fries, ketchup, chocolate shake."
37, 29 August 2006,"2 lbs. shrimp – deep fried, french fries (without peelings) and ketchup, Dr. Pepper and banana pudding (one of three  executions this date)."
38, 29 April 2009,"8 oz. hickory smoked sausage (beef), 8 oz. cracker barrel cheese mild or sharp (Kraft), a Wendy’s dbl cheeseburger with pickles, onions, lettuce & mayo, French fries, ketchup, a Kosher dill pickle, an onion, Coke classic & Breyers viennetta ice cream/cake combo (two of three  executions this date)."
39, 29 April 1999,"Porterhouse steak (rare), extra sharp cheese, salad with blue cheese dressing, and root beer (three of three  executions this date)."
40, 29 April 1998,"Sirloin steak, french fries, fruit salad, Pepsi, ketchup (one of two executions on this date)."
41, 28 September 2011,"Barbecue pork spare ribs, french fries, small box of Velveeta cheese, artichokes (2), coke (1 large bottle), chocolate cake, vanilla ice cream, light bread and ketchup, (4 fries), Miracle Whip (two of two executions this date)."
